Date,Date/Time,Ride,Zone,Wait Time,Visitor Count
2024-01-03,14,Enchanted Airways,Far Far Away,15.0,427
2024-01-03,14,Jurassic Park Rapids Adventure,The Lost World,30.0,303
2024-01-03,14,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,455
2024-01-03,14,Magic Potion Spin,Far Far Away,5.0,51
2024-01-03,14,Puss In Boots’ Giant Journey,Far Far Away,40.0,1339
2024-01-03,14,Revenge of the Mummy,Ancient Egypt,15.0,535
2024-01-03,14,Sesame Street Spaghetti Space Chase,New York,9.166666666666666,42
2024-01-03,14,Shrek 4-D Adventure,Far Far Away,20.0,696
2024-01-03,14,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,14.166666666666666,616
2024-01-03,14,Treasure Hunters,Ancient Egypt,36.25,468
2024-01-03,15,Accelerator,Sci-Fi City,5.0,58
